"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"1","Acc00006.1","Double sigmoid","3_deg_log",0.130401132431692,26831.1515278728,3.36367600134878,3.27612121660268,674090.041605978,1.39339959096246,0.21695946938574,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2","Acc00011.1","Double sigmoid","3_deg_log",1.90441345070325,14659.3607544374,1.82203484317113,10.3514950725319,79681.3846068931,5.82196844110249,0.195235062732608,6,"Accurate fit",8,"Optimisation nearly converges to 3 identical values"
"3","Acc00036.1","Double sigmoid","3_deg_log",0.181546033392786,2895.7337151563,3.80769937917155,7.80281131793586,124458.041765444,6.47731142791193,0.293339099822518,4,"Pretty accurate fit",1,"Optimisation converges to different values"
"4","Acc00037.1","Double sigmoid","3_deg_log",0.398893357551227,15551.6758301124,3.71585467428082,5.87861880111417,229190.013303219,3.30388132226472,0.203594012575199,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"5","Acc00055.1","Double sigmoid","3_deg_log",1.54286631348661,69966.7839712556,2.94926990516589,5.5693331955888,252561.306934703,3.297965162048,0.171048987375649,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"6","Acc00069.1","Double sigmoid","3_deg_log",0.0315555741345282,7519.4122417852,1.63092804327036,3.17418754589589,756380.618795814,0.749998176022886,0.20685881867579,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"7","Acc00072.1","Double sigmoid","3_deg_log",1.29618865220791,16929.2980096527,2.50354502343291,1.92303182812353,25116.3893812029,0.93238437653084,0.213340396547124,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"8","Acc00076.1","Double sigmoid","3_deg_log",0.263945826973428,25748.2952878871,2.78215658860072,4.16722189031368,406518.492799455,2.34651050708353,0.149076454602591,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"9","Acc00078.1","Double sigmoid","3_deg_log",1.6938662387972,70509.2038848626,0.850158981036357,6.89747368093427,287115.574370743,6.20654751236823,0.842496180368067,-7,"Inaccurate fit",1,"Optimisation converges to different values"
"10","Acc00088.1","Double sigmoid","3_deg_log",2.36746448185937,3537.73245434464,1.65464764221091,13.4522408574273,20101.8555630472,8.0678066423797,0.234377913839679,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"11","Acc00097.1","Double sigmoid","3_deg_log",0.111330181805532,6085.37305795382,4.28012375152262,5.7570481461997,314683.629488925,3.6394273223065,0.237050948314734,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"12","Acc00131.1","Double sigmoid","3_deg_log",0.0479131980540747,5176.75300201351,1.83778729764505,2.31379521201191,249992.628258896,1.13249419963322,0.34230050465603,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"13","Acc00141.1","Double sigmoid","3_deg_log",0.589919691907564,21983.7194345948,2.800894692185,2.4170875977294,90074.2530317975,0.949339963317592,0.210721961809563,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"14","Acc00145.1","Double sigmoid","3_deg_log",3.07826232921193,16317.4659147931,3.9960411020343,12.4818099855264,66164.4418868921,9.32125604339044,0.228893783182316,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"15","Acc00157.1","Double sigmoid","3_deg_log",0.0986761303042755,3449.26714807296,2.09764469041282,0.595612420950236,20819.8918039537,0.19299231892791,0.435061324507693,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"16","Acc00203.1","Double sigmoid","3_deg_log",0.24495109562751,4979.71121284672,2.82122512054601,9.55721972911055,194292.63676805,5.89602455818061,0.331972110047012,3,"Average fit",1,"Optimisation converges to different values"
"17","Acc00205.1","Double sigmoid","3_deg_log",0.143823599500628,16474.349164064,3.2266569879072,6.661910127708,763091.967691968,4.03589720548674,0.179437832460463,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"18","Acc00209.1","Double sigmoid","3_deg_log",0.199242928555921,13127.1067987111,3.72996201975094,9.06019393820326,596930.261494567,7.53872002151128,0.211398638090688,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"19","Acc00212.1","Double sigmoid","3_deg_log",0.178544582454486,20367.6349547428,2.74928326303226,13.4329766992798,1532378.98347457,7.65315276859258,0.313911323309592,3,"Average fit",1,"Optimisation converges to different values"
"20","Acc00220.1","Double sigmoid","3_deg_log",1.21593516719251,10791.7458039731,0.975209262200214,4.09415199850486,36336.6804767296,2.63230498346051,0.566956954929519,-2,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"21","Acc00225.1","Double sigmoid","3_deg_log",0.187719815853489,3207.48919094258,2.00517567788389,2.38350624108311,40725.9642252422,1.27214231259176,0.304055450594051,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"22","Acc00229.1","Double sigmoid","3_deg_log",0.229087350591145,28273.9099051566,3.0375670645051,2.2301249328991,275241.523669138,0.890689723576769,0.196824644556296,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"23","Acc00234.1","Double sigmoid","3_deg_log",1.12232192770826,8796.83532707572,3.4787175735585,2.69629562514552,21133.7478328993,1.68259230336506,0.22525834492463,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"24","Acc00238.1","Double sigmoid","3_deg_log",0.065769206429619,8826.10268512947,2.33532101162752,16.5983358022936,2227465.16411256,9.13772430454337,0.181633841600343,6,"Accurate fit",4,"Optimisation nearly converges to 2 identical values"
"25","Acc00244.1","Double sigmoid","3_deg_log",0.279963748595307,73100.9662229422,3.51313582092471,2.99965876774109,783236.956074496,1.4867204889801,0.145179411025829,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"26","Acc00255.1","Double sigmoid","3_deg_log",0.0694685520797768,15229.4611727906,3.02103555929989,4.10127556203414,899114.996080318,2.48355532202926,0.182708576612882,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"27","Acc00257.1","Double sigmoid","3_deg_log",0.0694707019432054,8108.82705630813,3.31671071879641,12.9794822353754,1515003.78984406,7.14874308656313,0.194509546229174,6,"Accurate fit",4,"Optimisation nearly converges to 2 identical values"
"28","Acc00259.1","Double sigmoid","3_deg_log",0.20539534387028,6124.30722147654,3.2779894026023,7.16614009882757,213673.994407001,3.90889267049902,0.187215600916081,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"29","Acc00263.1","Double sigmoid","3_deg_log",0.157800806599856,28869.1749593805,2.64703784355407,16.7353234283125,3061676.23894905,9.52107049959272,0.209947627827819,5,"Pretty accurate fit",4,"Optimisation nearly converges to 2 identical values"
"30","Acc00264.1","Double sigmoid","3_deg_log",0.253148685877996,11481.7807814494,3.81543590471368,9.2126033672503,417845.709616637,8.60429796189011,0.153064514388894,6,"Accurate fit",1,"Optimisation converges to different values"
"31","Acc00271.1","Double sigmoid","3_deg_log",0.169392203465021,6128.0598903686,2.83932927421882,4.96790477958763,179722.663713079,2.71342981985086,0.26006608472583,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"32","Acc00280.1","Double sigmoid","3_deg_log",0.233577342021921,7737.32481131728,2.7244003590484,6.08137309800451,201447.445847088,3.75925014907438,0.215481971714197,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"33","Acc00294.1","Double sigmoid","3_deg_log",0.698493594524552,18161.7282391993,4.00632977253193,4.07907716968112,106061.231775357,2.27493227593269,0.119917418807827,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"34","Acc00334.1","Double sigmoid","3_deg_log",0.234397854900548,30960.3582909692,3.22456984198299,2.37043149923283,313097.61154421,0.84286816012194,0.460830668563687,0,"Inaccurate fit",8,"Optimisation nearly converges to 3 identical values"
"35","Acc00336.1","Double sigmoid","3_deg_log",0.107935853205223,7001.87962996828,1.28255868162233,16.7947068253752,1089485.20922234,11.4905517196434,0.495188207347544,0,"Inaccurate fit",4,"Optimisation nearly converges to 2 identical values"
"36","Acc00338.1","Double sigmoid","3_deg_log",3.42075568823132,13852.7805399088,1.2075676656845,0.485023429028668,1964.16339879628,0.0953120669453379,0.258584810080838,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"37","Acc00350.1","Double sigmoid","3_deg_log",0.443326816278368,5746.78268313629,1.35407354714181,24.1201499019748,312666.084436192,18.6081323858883,0.495064213913437,0,"Inaccurate fit",1,"Optimisation converges to different values"
"38","Acc00352.1","Double sigmoid","3_deg_log",0.368707353555224,10249.6486336382,3.26688380908114,2.1839046472776,60710.0863818608,1.09186698202179,0.205799739116577,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"39","Acc00356.1","Double sigmoid","3_deg_log",0.321789023967849,27581.524476626,2.95415645367502,3.79235527623693,325054.405479167,1.74470248001674,0.205927820383472,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"40","Acc00357.1","Double sigmoid","3_deg_log",0.633681971308784,11267.9782954302,3.89636722171738,3.06145629019031,54438.0692400401,1.19258487986701,0.291404969594745,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"41","Acc00359.1","Double sigmoid","3_deg_log",0.175658296297552,1660.35616029304,2.8915636552715,4.13771887282845,39110.5183465065,2.31474313375012,0.211123866974519,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"42","Acc00365.1","Double sigmoid","3_deg_log",0.390014038463734,4427.17165077329,3.4537158857787,10.311652166464,117050.797258031,8.58014663900395,0.321786980184922,3,"Average fit",1,"Optimisation converges to different values"
"43","Acc00368.1","Double sigmoid","3_deg_log",0.623758078558522,8448.59151559087,3.70941689562404,4.87883170981263,66082.1199859641,3.0015359251413,0.165688599178373,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"44","Acc00373.1","Double sigmoid","3_deg_log",0.349325940944547,34221.2280629445,3.56362036428961,2.64212173758344,258831.766995109,1.60752269279846,0.15127615840682,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"45","Acc00375.1","Double sigmoid","3_deg_log",0.162851659264538,12252.2200741969,2.79651186018655,2.84712475602317,214204.750796089,1.20673229639204,0.20004025819099,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"46","Acc00380.1","Double sigmoid","3_deg_log",0.509027829068975,86602.5339700834,3.05086567819402,2.49548286036882,424564.487136454,1.32862270220467,0.23709540379932,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"47","Acc00383.1","Double sigmoid","3_deg_log",3.44564238970942,28119.4861951529,1.81767617207278,7.82749344800521,63879.2622853687,5.17107375731715,0.290825438859559,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"48","Acc00387.1","Double sigmoid","3_deg_log",4.44527455652304,16606.5096755578,2.92240424194683,4.47353633551587,16712.0890948546,2.08312151420443,0.185811156411711,6,"Accurate fit",6,"Optimisation converges to 2 indentical values"
"49","Acc00389.1","Double sigmoid","3_deg_log",0.842678343630719,6441.10854955942,6.07767991029311,0.352912029128754,2697.52356310669,0.582297364689343,0.288956300766239,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"50","Acc00392.1","Double sigmoid","3_deg_log",0.0540964450866871,46696.2877034541,3.97508174726476,1.90173514921095,1641586.08797716,1.56341259248502,0.254614633079925,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"51","Acc00393.1","Double sigmoid","3_deg_log",0.099801983549144,28129.963347019,3.17172082701468,2.23655662349047,630390.835983131,0.690724602186474,0.338917736174173,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"52","Acc00394.1","Double sigmoid","3_deg_log",0.710561541441731,30009.0722875991,2.73936049314173,18.9384071662613,799823.796417675,13.0202611145512,0.311469215534888,3,"Average fit",1,"Optimisation converges to different values"
"53","Acc00398.1","Double sigmoid","3_deg_log",0.129059947691552,12229.6689077963,3.35468934538468,2.67677037037246,253649.687276274,0.961536802692392,0.313696535143263,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"54","Acc00406.1","Double sigmoid","3_deg_log",0.0529909039606014,6519.89058288551,3.07406198365615,19.7531548490059,2430387.07884784,12.0750893606656,0.184432635977157,6,"Accurate fit",1,"Optimisation converges to different values"
"55","Acc00412.1","Double sigmoid","3_deg_log",0.0654727539443987,17159.4944264649,3.79040832168716,2.89702935539371,759270.934584482,1.69874137440435,0.220914639318611,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"56","Acc00413.1","Double sigmoid","3_deg_log",0.302895795852483,17904.294838518,3.40746494325234,5.07924077115007,300236.007127621,2.82497395960849,0.175318623898948,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"57","Acc00418.1","Double sigmoid","3_deg_log",1.11574447003526,17783.138071548,3.14738439618277,4.17007411493168,66464.1463578795,1.95051613501367,0.245084035652875,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"58","Acc00429.1","Double sigmoid","3_deg_log",0.0731590070484357,16686.1984101489,2.65981196853829,4.95272369980764,1129623.45526263,2.37389762236796,0.277917628753603,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"59","Acc00441.1","Double sigmoid","3_deg_log",0.0900427747909695,23765.923992721,3.73196779595872,1.11611532118964,294587.899496458,0.423865719916058,0.238093894898227,5,"Pretty accurate fit",8,"Optimisation nearly converges to 3 identical values"
"60","Acc00448.1","Double sigmoid","3_deg_log",0.142722528462867,4373.04662176395,3.57602552141907,7.81345509959307,239405.816275667,4.31751708034127,0.175581021388707,6,"Accurate fit",4,"Optimisation nearly converges to 2 identical values"
"61","Acc00467.1","Double sigmoid","3_deg_log",0.519593517935656,16989.8882440659,2.88756739951643,4.05478531615081,132585.082371279,1.63497622439741,0.225497883317764,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"62","Acc00479.1","Double sigmoid","3_deg_log",0.042038098836269,3343.59043740903,2.89348458858595,12.768817256125,1015595.29228207,7.91672357225989,0.260773788306133,4,"Pretty accurate fit",1,"Optimisation converges to different values"
"63","Acc00482.1","Double sigmoid","3_deg_log",0.144236892905924,12556.5644867249,3.02023228429647,2.01314891665486,175254.982855492,0.815726510288741,0.175451812559911,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"64","Acc00498.2","Double sigmoid","3_deg_log",0.263515457037257,12292.0698276463,2.37282389071536,4.33410580129471,202170.801473665,2.28764541615119,0.224584004460149,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"65","Acc00530.1","Double sigmoid","3_deg_log",0.677401759040014,42937.0102450896,3.15850643519269,3.3681760887527,213491.342914416,1.5045686727184,0.186679796380382,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"66","Acc00538.1","Double sigmoid","3_deg_log",0.401203085344998,10783.1022427963,4.38638566792102,6.56138596912401,176349.829659642,3.19996330109698,0.227583473665253,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"67","Acc00542.1","Double sigmoid","3_deg_log",2.03033779867875,2283.59213772328,1.01749517386435,1.78999331780619,2013.26826983148,0.286310887163936,0.270582228334671,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"68","Acc00566.1","Double sigmoid","3_deg_log",0.44230508135857,22614.3156897039,2.23094984058321,1.64314698953875,84011.3449112562,0.630110321364518,0.237318699968067,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"69","Acc00621.1","Double sigmoid","3_deg_log",0.467395996006241,2182.2409901752,1.65645305332984,16.2256152759179,75756.3245052877,9.04267831221235,0.376019718840516,2,"Average fit",1,"Optimisation converges to different values"
"70","Acc00622.1","Double sigmoid","3_deg_log",0.247553744225242,15949.9205443831,4.02128694224481,14.1234829375093,909977.877200917,12.0891636693636,0.167878791663834,6,"Accurate fit",1,"Optimisation converges to different values"
"71","Acc00646.1","Double sigmoid","3_deg_log",0.230971695022051,10187.4833250798,3.91335943070415,3.83695927010645,169237.007935054,1.97566266097108,0.429734257332577,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"72","Acc00667.1","Double sigmoid","3_deg_log",0.938935307426628,8318.61281055859,1.78316404660968,1.70327321064508,15090.3584494938,0.903407465349997,0.206352968039138,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"73","Acc00674.1","Double sigmoid","3_deg_log",0.032074232216623,1852.55542294866,2.70361472144687,13.4498781227141,776843.058500996,9.21526888129887,0.246207142614482,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"74","Acc00675.1","Double sigmoid","3_deg_log",0.741589332218104,6124.60158892036,2.33405243792371,5.37806350767427,44416.0870085563,2.73000567809707,0.199714511327288,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"75","Acc00679.1","Double sigmoid","3_deg_log",0.329137693260037,1550.29754411501,3.10161830822279,5.19433569643282,24466.2523873453,2.96321585551907,0.228617150915183,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"76","Acc00699.1","Double sigmoid","3_deg_log",0.218121396579897,5707.81038890914,3.06909042341584,2.46626796314766,64537.4095463011,0.555429850000541,0.235367071250081,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"77","Acc00702.1","Double sigmoid","3_deg_log",0.287735324123679,10572.2686041727,2.29347381702747,2.28808751032062,84071.275651107,1.2565772219256,0.25036896404432,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"78","Acc00704.1","Double sigmoid","3_deg_log",0.526767796771219,3226.63248458313,1.86324573753797,3.66513570081961,22450.2066852923,1.23822895953146,0.414350236318499,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"79","Acc00715.1","Double sigmoid","3_deg_log",0.255567081917835,4283.63329678503,3.20667178533612,4.17795735750436,70027.9437979714,2.65638209219963,0.228519377680949,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"80","Acc00719.1","Double sigmoid","3_deg_log",0.124587855275223,24091.4300899108,2.10393458731945,4.99289252349061,965470.678585749,1.79917888558841,0.221297389967026,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"81","Acc00723.1","Double sigmoid","3_deg_log",0.0697194104676901,11837.9612309652,4.38351573997292,1.29652314337013,220142.290408173,0.584618319977357,0.297475576992645,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"82","Acc00726.1","Double sigmoid","3_deg_log",0.0682948868350619,8258.37739059175,3.53507460185994,3.86959420590831,467920.378549217,1.78224436841171,0.412740840984281,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"83","Acc00727.1","Double sigmoid","3_deg_log",0.145870519929896,9283.61465360783,1.97127803337474,9.6549297278707,614467.180512488,4.92435167284062,0.200646842797887,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"84","Acc00756.1","Double sigmoid","3_deg_log",0.336403775216777,16093.7776989598,2.79818245893446,9.77666719795283,467722.184209062,6.29601234071335,0.168499535776907,6,"Accurate fit",1,"Optimisation converges to different values"
"85","Acc00759.1","Double sigmoid","3_deg_log",0.110468530613867,5866.70034468571,2.69253718947832,4.05414198086813,215305.083034916,2.13856907634554,0.18903482782578,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"86","Acc00764.1","Double sigmoid","3_deg_log",0.592749466783704,32789.6730686095,1.53206709748103,1.46683390054223,81142.2139368766,0.79590132917079,0.383096499295787,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"87","Acc00766.1","Double sigmoid","3_deg_log",0.0899476255237604,21275.4616546239,3.71381377457706,0.0113487474519249,2684.33813383609,0,0.678886526436468,-4,"Inaccurate fit",4,"Optimisation nearly converges to 2 identical values"
"88","Acc00774.1","Double sigmoid","3_deg_log",0.446792828461083,9351.79733232169,2.67705421295574,12.4056992829566,259663.043069733,7.30398065174996,0.259497879303938,4,"Pretty accurate fit",4,"Optimisation nearly converges to 2 identical values"
"89","Acc00778.1","Double sigmoid","3_deg_log",0.126673671406003,11044.3782370022,2.73726601804949,3.53241218807334,307982.675966158,1.36548506337329,0.366621773891109,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"90","Acc00785.1","Double sigmoid","3_deg_log",0.180082980695012,50922.3997978685,3.31678560484596,1.08872075672432,307859.595771837,0.475414422782966,0.1664831811666,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"91","Acc00790.1","Double sigmoid","3_deg_log",0.0816621907365968,807.320327939393,4.44941442951581,8.40545546691017,83097.146951567,5.95316926136338,0.24002901133127,5,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"92","Acc00809.1","Double sigmoid","3_deg_log",0.0299230945056481,8703.52587769616,0.580528421296258,6.70521256495629,1950299.32694745,2.81576982859579,0.232446133317789,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"93","Acc00819.1","Double sigmoid","3_deg_log",0.0587839063366385,18779.7749638944,5.23566274813208,2.40232005482127,767472.473884826,1.58669497369057,0.161076620562818,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"94","Acc00824.1","Double sigmoid","3_deg_log",0.285117168235046,2284.86896693835,4.3832159406414,12.5049844797137,100212.313227624,9.36357951559919,0.188820277966855,6,"Accurate fit",4,"Optimisation nearly converges to 2 identical values"
"95","Acc00846.1","Double sigmoid","3_deg_log",0.127681620693461,13078.2071942565,2.16305521330186,18.5388414601262,1898901.41149674,13.9903942394034,0.427765713429736,1,"Inaccurate fit",4,"Optimisation nearly converges to 2 identical values"
"96","Acc00849.1","Double sigmoid","3_deg_log",0.517639054099016,24976.9373553608,2.80478345673557,3.70819745616998,178926.637838939,1.80771574408328,0.288736252127376,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"97","Acc00853.1","Double sigmoid","3_deg_log",0.072080795230018,7512.17079372202,5.51243587350149,6.15351612511749,641311.794165031,4.56149609362527,0.128762455604281,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"98","Acc00854.1","Double sigmoid","3_deg_log",0.972794101248683,2707.57757561135,1.67786301863201,2.86301376020489,7968.62547361998,0.955005887851035,0.240532637217228,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"99","Acc00856.1","Double sigmoid","3_deg_log",0.205671349525697,2436.89334349783,1.80226427301736,9.43345608354213,111772.137388979,6.08387351320633,0.216343668820836,5,"Pretty accurate fit",1,"Optimisation converges to different values"
"100","Acc00868.1","Double sigmoid","3_deg_log",0.398639327537173,7898.14576388014,1.88539550982625,3.66936374133657,72700.2272174722,1.18516561633244,0.315023193871447,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"101","Acc00872.1","Double sigmoid","3_deg_log",0.463132616247673,2955.51627284327,3.87786203238411,1.98121887885406,12643.3000637253,0.701195140081522,0.270807964688217,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"102","Acc00873.1","Double sigmoid","3_deg_log",0.342936440840584,25317.4993286528,1.89139934119082,3.71437592163567,274216.148251476,1.39049734124476,0.246484321131648,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"103","Acc00882.1","Double sigmoid","3_deg_log",0.597367652647547,1049.45978540069,4.88745764324825,1.88992614113688,3320.23582748443,1.40459977900673,0.281737510170991,4,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"104","Acc00883.1","Double sigmoid","3_deg_log",0.216988760189527,16272.0577851017,4.54693886409386,6.69862112341909,502331.77933075,6.41851949379592,0.348137687260222,3,"Average fit",4,"Optimisation nearly converges to 2 identical values"
"105","Acc00884.1","Double sigmoid","3_deg_log",0.041593474672938,807.578892539291,2.19257254396825,9.66112119841087,187580.326468296,7.95375051548907,0.484530086653013,0,"Inaccurate fit",4,"Optimisation nearly converges to 2 identical values"
"106","Acc00894.1","Double sigmoid","3_deg_log",0.313171265161106,3818.8107035127,3.59802919704832,2.37635021211053,28977.2167335786,1.1599405282916,0.169991445783999,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"107","Acc00899.1","Double sigmoid","3_deg_log",0.220002011436566,50837.2119327458,2.68628298192794,2.95301698121752,682371.716216957,1.33219613235708,0.235227274892824,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"108","Acc00900.1","Double sigmoid","3_deg_log",0.176987597037769,7127.80539399641,4.50357817670595,8.18234638677618,329526.891642945,5.14329543344537,0.236714566858817,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"109","Acc00909.1","Double sigmoid","3_deg_log",0.381987923973716,10122.2928692189,2.5527574492515,1.57233636711716,41665.3202837343,0.782665614736383,0.23144358129325,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"110","Acc00911.1","Double sigmoid","3_deg_log",0.220760911130862,4278.54303789985,4.12027623187175,2.1890031123247,42424.8295506723,0.989833998431522,0.226534142741612,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"111","Acc00918.1","Double sigmoid","3_deg_log",1.00828992189373,24420.3926321254,4.60686554545964,1.30287533144388,31555.13751919,0.290949712512904,0.164987076729392,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"112","Acc00922.1","Double sigmoid","3_deg_log",0.254448200749548,30358.5226383042,1.03226401092419,4.79574771820957,572186.461692319,2.20429969012291,0.264763375965607,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"113","Acc00967.1","Double sigmoid","3_deg_log",0.768830074006991,11008.265389721,2.91866878407303,3.02016055734028,43243.2732001415,1.79770263976726,0.19518527470031,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"114","Acc00968.1","Double sigmoid","3_deg_log",0.0317703717321409,8977.31314387353,2.07699949270184,12.8364628674236,3627182.82908807,8.6366844162939,0.327837949121641,3,"Average fit",8,"Optimisation nearly converges to 3 identical values"
"115","Acc00970.1","Double sigmoid","3_deg_log",0.0803262768886996,13327.9822664575,3.90674676246063,0.835680699899658,138658.705221907,0.191512991103433,0.414663650695681,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"116","Acc00982.1","Double sigmoid","3_deg_log",1.91551863286007,6332.85954212801,4.96283240633044,1.80601223422661,5970.82253052528,0.900135100165143,0.313054851368046,3,"Average fit",6,"Optimisation converges to 2 indentical values"
"117","Acc00985.1","Double sigmoid","3_deg_log",1.55773512510973,14590.2640762222,3.15303233545166,7.06005915383681,66126.8567343711,3.73977169245663,0.220221691728941,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"118","Acc01005.1","Double sigmoid","3_deg_log",5.56637559569447,46492.2192152851,4.22718001711765,2.15049132739934,17961.6183807924,0.65785806543319,0.273373541567752,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"119","Acc01036.1","Double sigmoid","3_deg_log",0.120618652653865,17646.0347030081,2.46368877779659,6.75428769925152,988125.737709229,3.91631306004796,0.18651094972214,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"120","Acc01041.1","Double sigmoid","3_deg_log",0.239613800170407,3047.52211076747,3.50363362116507,11.9331588514445,151771.581708628,8.14991066708529,0.176586681849976,6,"Accurate fit",1,"Optimisation converges to different values"
"121","Acc01070.1","Double sigmoid","3_deg_log",2.40567767640286,17201.7952952974,3.99438058214282,1.99860927667758,14291.0531988213,0.342862002404028,0.269078508771923,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"122","Acc01077.1","Double sigmoid","3_deg_log",0.39764209965294,7415.34070385155,2.51701692511613,5.60801148051156,104579.761135452,3.07694845542956,0.220593250061398,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"123","Acc01080.1","Double sigmoid","3_deg_log",0.323717317364122,30503.9628290309,3.05672502456277,8.42384627824504,793781.116936738,4.97534113199455,0.186628051731226,6,"Accurate fit",6,"Optimisation converges to 2 indentical values"
